date,ch1,ch2,hono,err
44974.44144,-31.34506584,-30.10091237,-1.28321443,0.081212297
44974.44178,-31.34635176,-30.10084571,-1.284568607,0.08107688
44974.44213,-31.34763768,-30.10077906,-1.285922783,0.080941462
44974.44248,-31.28697968,-30.03632567,-1.28964259,0.080569481
44974.44282,-31.2882656,-30.10064576,-1.226610025,0.086872738
44974.44317,-31.35149545,-30.16496585,-1.225598572,0.086973883
44974.44352,-31.22889353,-30.29367268,-0.974137043,0.112120036
44974.44387,-31.29212337,-30.22921928,-1.101899073,0.099343833
44974.44421,-31.29340929,-30.22915263,-1.103253249,0.099208416
44974.44456,-31.35663913,-30.29347272,-1.102241797,0.099309561
44974.44491,-31.29598114,-30.22901933,-1.105961603,0.09893758
44974.44525,-31.4211549,-30.22895267,-1.231358003,0.08639794
44974.4456,-31.42244082,-30.29327276,-1.168325438,0.092701197
44974.44595,-31.42372674,-30.16443263,-1.298453097,0.079688431
44974.4463,-31.48695658,-30.22875272,-1.297441644,0.079789576
44974.44664,-31.42629858,-30.29307281,-1.172387968,0.092294944
44974.44699,-31.48952843,-30.22861941,-1.300149998,0.079518741
44974.44734,-31.49081435,-30.2929395,-1.237117433,0.085821997
44974.44769,-31.55404419,-30.29287285,-1.300492721,0.079484468
44974.44803,-31.55533011,-30.42157968,-1.173073416,0.092226399
44974.44838,-31.55661603,-30.48589977,-1.110040851,0.098529655
44974.44873,-31.61984587,-30.48583312,-1.173416139,0.092192127
44974.44907,-31.6211318,-30.48576646,-1.174770316,0.092056709
44974.44942,-31.5604738,-30.35692633,-1.242876863,0.085246054
44974.44977,-31.62370364,-30.48563316,-1.177478669,0.091785874
44974.45012,-31.68693348,-30.42117977,-1.305240699,0.079009671
44974.45046,-31.44044373,-30.42111311,-1.058510429,0.103682698
44974.45081,-31.44172965,-30.4854332,-0.995477865,0.109985954
44974.45116,-31.44301557,-30.54975329,-0.9324453,0.11628921
44974.4515,-31.56818933,-30.67846012,-0.929068218,0.116626919
44974.45185,-31.69336309,-30.67839347,-1.054464617,0.104087279
44974.4522,-31.75659293,-30.54955333,-1.246613388,0.084872402
44974.45255,-31.81982277,-30.67826017,-1.181215194,0.091412221
44974.45289,-31.69722086,-30.61380677,-1.122913889,0.097242352
44974.45324,-31.69850678,-30.67812686,-1.059881324,0.103545608
44974.45359,-31.82368054,-30.61367347,-1.249664465,0.084567294
44974.45394,-31.82496646,-30.7423803,-1.122245159,0.097309225
44974.45428,-31.95014022,-30.6779269,-1.3120283,0.07833091
44974.45463,-31.95142615,-30.61347351,-1.377769218,0.071756819
44974.45498,-32.01465599,-30.74218034,-1.312371024,0.078296638
44974.45532,-31.89205407,-30.67772695,-1.254069719,0.084126769
44974.45543,-31.45883241,-30.74209369,-0.755941449,0.133939596
44974.45551,-31.33524462,-30.61330466,-0.760988683,0.133434872
44974.45594,-31.46071843,-30.74199594,-0.757927575,0.133740983
44974.45628,-31.52394827,-30.74192928,-0.821302863,0.127403454
44974.45663,-31.52523419,-30.80624937,-0.758270299,0.133706711
44974.45698,-31.52652011,-30.87056946,-0.695237734,0.140009967
44974.45733,-31.52780604,-30.87050281,-0.696591911,0.139874549
44974.45767,-31.52909196,-30.9348229,-0.633559347,0.146177806
44974.45802,-31.53037788,-30.93475625,-0.634913523,0.146042388
44974.45837,-31.5316638,-30.93468959,-0.6362677,0.14590697
44974.45872,-31.53294972,-31.06339642,-0.508848394,0.158648901
44974.45906,-31.53423565,-31.06332977,-0.510202571,0.158513483
44974.45941,-31.53552157,-30.99887638,-0.575943489,0.151939392
44974.45976,-31.59875141,-31.06319647,-0.574932036,0.152040537
44974.4601,-31.66198125,-30.99874307,-0.702694065,0.139264334
44974.46045,-31.66326717,-30.93428968,-0.768434983,0.132690242
44974.4608,-31.60260917,-30.99860977,-0.643381307,0.14519561
44974.46115,-31.72778294,-30.93415638,-0.833164448,0.126217296
44974.46149,-31.66712494,-30.93408972,-0.772497513,0.132283989
44974.46184,-31.66841086,-30.93402307,-0.77385169,0.132148571
44974.46219,-31.66969678,-31.12711664,-0.582045643,0.151329176
44974.46253,-31.79487054,-31.06266325,-0.771828784,0.132350862
44974.46288,-31.79615646,-31.0625966,-0.773182961,0.132215444
44974.46323,-31.73549847,-30.9981432,-0.776902767,0.131843464
44974.46358,-31.86067223,-30.99807655,-0.902299167,0.119303824
44974.46392,-31.92390207,-30.9980099,-0.965674455,0.112966295
44974.46427,-31.73935623,-30.99794325,-0.780965297,0.131437211
44974.46462,-31.80258607,-30.99787659,-0.844340585,0.125099682
44974.46497,-31.86581592,-31.06219668,-0.843329132,0.125200827
44974.46531,-31.99098968,-31.12651677,-0.904338791,0.119099861
