Date,channel 1,error,channel 2,error
10/02/2023 11:08,-0.100336561,-0.00952692,-0.095977238,-0.009456446
10/02/2023 11:08,-0.100439362,-0.0095372,-0.096078408,-0.009466563
10/02/2023 11:09,-0.100442164,-0.009537481,-0.096079579,-0.00946668
10/02/2023 11:09,-0.100344965,-0.009527761,-0.096080749,-0.009466797
10/02/2023 11:10,-0.100447766,-0.009538041,-0.09618192,-0.009476914
10/02/2023 11:10,-0.100450568,-0.009538321,-0.09608309,-0.009467031
10/02/2023 11:11,-0.100553369,-0.009548601,-0.096084261,-0.009467148
10/02/2023 11:11,-0.10025617,-0.009518881,-0.095985431,-0.009457265
10/02/2023 11:12,-0.100258972,-0.009519161,-0.096086602,-0.009467382
10/02/2023 11:12,-0.100261773,-0.009519441,-0.095987772,-0.009457499
10/02/2023 11:13,-0.100364574,-0.009529722,-0.096088943,-0.009467616
10/02/2023 11:13,-0.100567376,-0.009550002,-0.096190114,-0.009477734
10/02/2023 11:14,-0.100470177,-0.009540282,-0.096091284,-0.009467851
10/02/2023 11:14,-0.100472978,-0.009540562,-0.096092455,-0.009467968
10/02/2023 11:15,-0.10057578,-0.009550842,-0.096193625,-0.009478085
10/02/2023 11:15,-0.100378581,-0.009531122,-0.096194796,-0.009478202
10/02/2023 11:16,-0.100081382,-0.009501402,-0.096195966,-0.009478319
10/02/2023 11:16,-0.099984184,-0.009491683,-0.096197137,-0.009478436
10/02/2023 11:17,-0.099686985,-0.009461963,-0.096198307,-0.009478553
10/02/2023 11:17,-0.099389786,-0.009432243,-0.095999478,-0.00945867
10/02/2023 11:18,-0.098992588,-0.009392523,-0.096000648,-0.009458787
10/02/2023 11:18,-0.098695389,-0.009362803,-0.095501819,-0.009408904
10/02/2023 11:19,-0.09829819,-0.009323083,-0.094802989,-0.009339021
10/02/2023 11:19,-0.097900992,-0.009283363,-0.09400416,-0.009259138
10/02/2023 11:20,-0.097303793,-0.009223643,-0.09310533,-0.009169255
10/02/2023 11:20,-0.097006594,-0.009193924,-0.092606501,-0.009119372
10/02/2023 11:21,-0.096009396,-0.009094204,-0.091207672,-0.008979489
10/02/2023 11:21,-0.092412197,-0.008734484,-0.089608842,-0.008819606
10/02/2023 11:22,-0.092114998,-0.008704764,-0.089310013,-0.008789723
10/02/2023 11:22,-0.0931178,-0.008805044,-0.088811183,-0.008739841
10/02/2023 11:23,-0.093620601,-0.008855324,-0.088112354,-0.008669958
10/02/2023 11:23,-0.093823402,-0.008875604,-0.087813524,-0.008640075
10/02/2023 11:24,-0.093626204,-0.008855885,-0.087814695,-0.008640192
10/02/2023 11:24,-0.092929005,-0.008786165,-0.087215865,-0.008580309
10/02/2023 11:25,-0.092231806,-0.008716445,-0.086417036,-0.008500426
10/02/2023 11:25,-0.091734608,-0.008666725,-0.085618206,-0.008420543
10/02/2023 11:26,-0.091237409,-0.008617005,-0.085319377,-0.00839066
10/02/2023 11:26,-0.09104021,-0.008597285,-0.084720547,-0.008330777
10/02/2023 11:27,-0.090943012,-0.008587565,-0.084621718,-0.008320894
10/02/2023 11:27,-0.090845813,-0.008577845,-0.084522888,-0.008311011
10/02/2023 11:28,-0.090748614,-0.008568126,-0.084424059,-0.008301128
10/02/2023 11:28,-0.090551416,-0.008548406,-0.08452523,-0.008311245
10/02/2023 11:29,-0.090554217,-0.008548686,-0.0843264,-0.008291362
10/02/2023 11:29,-0.090457018,-0.008538966,-0.084327571,-0.008291479
10/02/2023 11:30,-0.09045982,-0.008539246,-0.084228741,-0.008281596
10/02/2023 11:30,-0.090462621,-0.008539526,-0.084329912,-0.008291713
10/02/2023 11:31,-0.090265422,-0.008519806,-0.084231082,-0.00828183
10/02/2023 11:31,-0.090468224,-0.008540087,-0.084132253,-0.008271947
10/02/2023 11:32,-0.090471025,-0.008540367,-0.084033423,-0.008262065
10/02/2023 11:32,-0.090273826,-0.008520647,-0.084134594,-0.008272182
10/02/2023 11:33,-0.090176628,-0.008510927,-0.083835764,-0.008242299
10/02/2023 11:33,-0.090179429,-0.008511207,-0.083736935,-0.008232416
10/02/2023 11:34,-0.08998223,-0.008491487,-0.083538105,-0.008212533
10/02/2023 11:34,-0.089985032,-0.008491767,-0.083339276,-0.00819265
10/02/2023 11:35,-0.089987833,-0.008492047,-0.083340446,-0.008192767
10/02/2023 11:35,-0.089290634,-0.008422328,-0.082741617,-0.008132884
10/02/2023 11:36,-0.086393436,-0.008132608,-0.081342788,-0.007993001
10/02/2023 11:36,-0.080296237,-0.007522888,-0.078543958,-0.007713118
10/02/2023 11:37,-0.071499038,-0.006643168,-0.076345129,-0.007493235
10/02/2023 11:37,-0.05970184,-0.005463448,-0.070746299,-0.006933352
10/02/2023 11:38,-0.044804641,-0.003973728,-0.06274747,-0.006133469
10/02/2023 11:38,-0.028607442,-0.002354008,-0.05384864,-0.005243586
10/02/2023 11:39,-0.012410244,-0.000734289,-0.043949811,-0.004253703
10/02/2023 11:39,0.001986955,0.000705431,-0.033550981,-0.00321382
10/02/2023 11:40,0.013384154,0.001845151,-0.024152152,-0.002273937
10/02/2023 11:40,0.022281352,0.002734871,-0.015553322,-0.001414054
10/02/2023 11:41,0.028278551,0.003334591,-0.008454493,-0.000704171
10/02/2023 11:41,0.03177575,0.003684311,-0.002655663,-0.000124289
10/02/2023 11:42,0.033272948,0.003834031,0.000943166,0.000235594
10/02/2023 11:42,0.033170147,0.003823751,0.002941996,0.000435477
10/02/2023 11:43,0.032367346,0.00374347,0.003840825,0.00052536
10/02/2023 11:43,0.031064544,0.00361319,0.003839654,0.000525243
10/02/2023 11:44,0.029461743,0.00345291,0.003238484,0.000465126
10/02/2023 11:44,0.028058942,0.00331263,0.002437313,0.000385009
10/02/2023 11:45,0.02645614,0.00315235,0.001836143,0.000324892
10/02/2023 11:45,0.025453339,0.00305207,0.001234972,0.000264775
10/02/2023 11:46,0.024350538,0.00294179,0.000733802,0.000214658
10/02/2023 11:46,0.023547736,0.002861509,0.000132631,0.000154541
10/02/2023 11:47,0.022744935,0.002781229,-6.85E-05,0.000134424
10/02/2023 11:47,0.022242134,0.002730949,-0.00036971,0.000104307
10/02/2023 11:48,0.021839332,0.002690669,-0.00047088,9.42E-05
10/02/2023 11:48,0.021736531,0.002680389,-0.000572051,8.41E-05
10/02/2023 11:49,0.02183373,0.002690109,-0.000673221,7.40E-05
10/02/2023 11:49,0.022130928,0.002719829,-0.000774392,6.38E-05
10/02/2023 11:50,0.022228127,0.002729549,-0.000675562,7.37E-05
10/02/2023 11:50,0.022325326,0.002739268,-0.000776733,6.36E-05
10/02/2023 11:51,0.022722524,0.002778988,-0.000777904,6.35E-05
10/02/2023 11:51,0.022819723,0.002788708,-0.000679074,7.34E-05
10/02/2023 11:52,0.023016922,0.002808428,-0.000780245,6.33E-05
10/02/2023 11:52,0.02321412,0.002828148,-0.000781415,6.31E-05
10/02/2023 11:53,0.023311319,0.002837868,-0.000682586,7.30E-05
10/02/2023 11:53,0.023308518,0.002837588,-0.000583756,8.29E-05
10/02/2023 11:54,0.023405716,0.002847307,-0.000584927,8.28E-05
10/02/2023 11:54,0.023602915,0.002867027,-0.000486097,9.27E-05
10/02/2023 11:55,0.023800114,0.002886747,-0.000587268,8.26E-05
10/02/2023 11:55,0.023897312,0.002896467,-0.000588438,8.24E-05
10/02/2023 11:56,0.023994511,0.002906187,-0.000289609,0.000112317
10/02/2023 11:56,0.02419171,0.002925907,-0.000190779,0.0001222
10/02/2023 11:57,0.024288908,0.002935627,-9.19E-05,0.000132083
10/02/2023 11:57,0.024386107,0.002945347,6.88E-06,0.000141966
10/02/2023 11:58,0.024383306,0.002945066,-9.43E-05,0.000131849
10/02/2023 11:58,0.024280504,0.002934786,-0.000195462,0.000121732
10/02/2023 11:59,0.024277703,0.002934506,0.000203368,0.000161615
10/02/2023 11:59,0.024074902,0.002914226,2.20E-06,0.000141498
10/02/2023 12:00,0.0240721,0.002913946,0.000101027,0.00015138
10/02/2023 12:00,0.023769299,0.002883666,-1.44E-07,0.000141263
10/02/2023 12:01,0.023866498,0.002893386,-0.000101314,0.000131146
10/02/2023 12:01,0.023763696,0.002883105,-2.48E-06,0.000141029
10/02/2023 12:02,0.023560895,0.002862825,9.63E-05,0.000150912
10/02/2023 12:02,0.023458094,0.002852545,-4.83E-06,0.000140795
10/02/2023 12:03,0.023355292,0.002842265,9.40E-05,0.000150678
10/02/2023 12:03,0.023352491,0.002841985,9.28E-05,0.000150561
10/02/2023 12:04,0.02334969,0.002841705,9.17E-05,0.000150444
10/02/2023 12:04,0.023146888,0.002821425,0.000190492,0.000160327
10/02/2023 12:05,0.023344087,0.002841145,0.000189322,0.00016021
10/02/2023 12:05,0.023241286,0.002830864,0.000288151,0.000170093
10/02/2023 12:06,0.022938484,0.002800584,0.00038698,0.000179976
10/02/2023 12:06,0.023035683,0.002810304,0.00038581,0.000179859
10/02/2023 12:07,0.023032882,0.002810024,0.000384639,0.000179742
10/02/2023 12:07,0.02283008,0.002789744,0.000383469,0.000179625
10/02/2023 12:08,0.022627279,0.002769464,0.000482298,0.000189508
10/02/2023 12:08,0.022524478,0.002759184,0.000781128,0.000219391
10/02/2023 12:09,0.022421676,0.002748903,0.000579957,0.000199274
10/02/2023 12:09,0.022218875,0.002728623,0.000478787,0.000189156
10/02/2023 12:10,0.022116074,0.002718343,0.000577616,0.000199039
10/02/2023 12:10,0.022213272,0.002728063,0.000576446,0.000198922
10/02/2023 12:11,0.022310471,0.002737783,0.000575275,0.000198805
10/02/2023 12:11,0.02270767,0.002777503,0.000474105,0.000188688
10/02/2023 12:12,0.023004868,0.002807223,0.000772934,0.000218571
10/02/2023 12:12,0.023302067,0.002836943,0.000771764,0.000218454
10/02/2023 12:13,0.023599266,0.002866662,0.000870593,0.000228337
10/02/2023 12:13,0.023896464,0.002896382,0.000769422,0.00021822
10/02/2023 12:14,0.024093663,0.002916102,0.000768252,0.000218103
10/02/2023 12:14,0.024290862,0.002935822,0.000767081,0.000217986
10/02/2023 12:15,0.02438806,0.002945542,0.000865911,0.000227869
10/02/2023 12:15,0.024285259,0.002935262,0.00096474,0.000237752
10/02/2023 12:16,0.024382458,0.002944982,0.00076357,0.000217635
10/02/2023 12:16,0.024479656,0.002954701,0.000762399,0.000217518
10/02/2023 12:17,0.024376855,0.002944421,0.000861229,0.000227401
10/02/2023 12:17,0.024574054,0.002964141,0.000860058,0.000227284
10/02/2023 12:18,0.024671252,0.002973861,0.000958888,0.000237167
10/02/2023 12:18,0.024868451,0.002993581,0.000857717,0.00022705
10/02/2023 12:19,0.02496565,0.003003301,0.000956547,0.000236932
10/02/2023 12:19,0.025162848,0.003023021,0.000855376,0.000226815
10/02/2023 12:20,0.025360047,0.003042741,0.001054206,0.000246698
10/02/2023 12:20,0.025457246,0.00305246,0.001053035,0.000246581
